rainbow02	= Rainbow Light
zero3		= Stove Fan
tiffany04	= Tiffany Lamp
breadboard10	= OpenVPN, & breadboard
aprx11		= APRX
battmon12	= Battery Monitor (old)
gardentemp13	= Garden Temperature Monitor
adafruitaio14	= Adafruit Temperature Monitor
raspi15		= MySQL database (old)
blockheat16	= BlockHeater (old)
tempi17		= Office Temperature Monitor (old)
arduino18	= Office Arduino / Raspi (old)
raspi19		= Raspi19
raspi20		= fail2ban ssh access
mqtt21		= Mosquitto mqtt server for house
arduino23	= APRX Battery monitor / Arduino
battmon24	= Battery Monitor (new)
irricana30	= Irricana House Pi
alarm31		= CFMF Alarm 1 *** May have conflict with Pi House
raspi31		= Pi House *** May have conflice with alarm31
desktop32	= Garag desktop
alarm33		= CFMF Alarm 2
garage34	= Camera in garage
alarm35		= CFMF Alarm 3
breadboard36	= Arduino... soon to be breadboard36
raingauge37	= Raingauge, was Raspi37 at MakerSpace
pi400		= Pi400 desktop computer
breadboard40	= 22240 breadboard 40 at SAIT
blockheat41	= BlockHeater (new)
raspi42		= Pico programmer
raspi43		= raspi43
desktop52	= desktop52 at home 
SMSDatabase	= 22202 (10.248.128.1)
zero11		= 22211 (10.248.128.30)
greenhouse	= 22260 (pi user)

